"route_id","delivery_attempt_time","status","zone_id","driver_id","latitude","longitude"
1480137,"2021-12-14 04:25:33","Success",12,1401385,1.31749733074044,103.831624131627
1480137,"2021-12-14 05:13:48","Success",12,1401385,1.31820941390129,103.829875208483
1480137,"2021-12-14 11:14:41","Success",12,1401385,1.31423008690063,103.82734094425
1480137,"2021-12-14 04:26:39","Success",12,1401385,1.31749733074044,103.831624131627
1480137,"2021-12-14 06:58:02","Success",12,1401385,1.31694561774662,103.831782180842
1480137,"2021-12-14 10:47:36","Success",12,1401385,1.31696156568442,103.827299392328
1480137,"2021-12-14 10:17:13","Fail",12,1401385,1.31934224638349,103.827861285244
1480137,"2021-12-14 09:22:40","Success",12,1401385,1.31768770129897,103.828761409931
1480137,"2021-12-14 05:21:36","Success",12,1401385,1.31820941390129,103.829875208483
1480137,"2021-12-14 07:50:24","Success",12,1401385,1.31590423871114,103.83036359192
1480137,"2021-12-14 06:59:20","Success",12,1401385,1.31694561774662,103.831782180842
1480137,"2021-12-14 10:59:39","Success",12,1401385,1.31634987214067,103.827190417554
1480137,"2021-12-14 07:16:52","Success",12,1401385,1.31694561774662,103.831782180842
1480137,"2021-12-14 09:21:16","Success",12,1401385,1.31768770129897,103.828761409931
1480137,"2021-12-14 06:55:46","Success",12,1401385,1.31694561774662,103.831782180842
1480137,"2021-12-14 03:59:30","Success",12,1401385,1.31522892800577,103.829182120212
1480137,"2021-12-14 06:16:43","Success",12,1401385,1.31825770760037,103.830356456433
1480137,"2021-12-14 07:09:07","Success",12,1401385,1.31694561774662,103.831782180842
1480137,"2021-12-14 08:14:06","Success",12,1401385,1.317729076675,103.829153028173
1480137,"2021-12-14 05:36:13","Success",12,1401385,1.31828107863752,103.829382520007
1480137,"2021-12-14 09:25:51","Success",12,1401385,1.31768770129897,103.828761409931
1480137,"2021-12-14 06:03:03","Success",12,1401385,1.31825770760037,103.830356456433
1480137,"2021-12-14 05:20:12","Success",12,1401385,1.31820941390129,103.829875208483
1480137,"2021-12-14 07:50:45","Success",12,1401385,1.31590423871114,103.83036359192
1480137,"2021-12-14 05:35:36","Success",12,1401385,1.31828107863752,103.829382520007
1480137,"2021-12-14 07:53:34","Success",12,1401385,1.31590423871114,103.83036359192
1480137,"2021-12-14 05:38:46","Success",12,1401385,1.31828107863752,103.829382520007
1480137,"2021-12-14 05:22:19","Success",12,1401385,1.31820941390129,103.829875208483
1480137,"2021-12-14 05:07:16","Success",12,1401385,1.31820941390129,103.829875208483
1480137,"2021-12-14 04:29:02","Success",12,1401385,1.31749733074044,103.831624131627
